collaboration,description,difficulty,duration,free,id_course,n_reviews,rating,school,skills,title,url
,"Learn to design data models, build data warehouses and data lakes, automate data pipelines, and work with massive datasets. At the end of the program, you’ll combine your new skills by completing a capstone project.",,,[False],nd027,,"width:91.0871694417238%,width:91.0871694417238%",School of Data Science,,Become a Data Engineer,https://www.udacity.com/course/data-engineer-nanodegree--nd027
,"Learn the programming fundamentals required for a career in data science. By the end of the program, you will be able to use Python, SQL, Command Line, and Git.",,,[False],nd104,,"width:95.11323003575687%,width:95.11323003575687%",School of Data Science,,Programming for Data Science with Python,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104
,"You’ll learn how to create a digital user experience that is ready to be handed off for development. You’ll start by building familiarity and fluency with design research fundamentals to identify the user and the solutions they need. You’ll then synthesize your research, and use design sprints to take an idea from concept to low-fidelity prototype. Finally, you’ll learn how to turn your low-fidelity prototype into a high-fidelity design, and improve its performance based on data.

Along the way, you’ll complete projects that can be incorporated into a UX portfolio at the end of the program in order to showcase your capabilities to future employers.",,,[False],nd578,,"width:94.1812865497076%,width:94.1812865497076%",School of Business,,Become a UX Designer,https://www.udacity.com/course/ux-designer-nanodegree--nd578
,"Learn to create marketing content, use social media to amplify your message, make content discoverable in search, run ad campaigns and advertise on Facebook. Additionally, learn how display and video ads work and how to market with email, and measure and optimize with Google Analytics.",,,[False],nd018,,"width:93.91399020141536%,width:93.91399020141536%",School of Business,,Become a Digital Marketer,https://www.udacity.com/course/digital-marketing-nanodegree--nd018
,"Learn the basics of programming through HTML, CSS, and Python. Explore possible programming paths with our final project selection. Get confident in your ability to think and problem-solve like a programmer. Be primed and ready for our career-ready programs after mastering these projects.",,,[False],nd000,,"width:93.68888888888888%,width:93.68888888888888%",School of Programming & Development,,Learn to Code,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000
,"Product Managers are responsible for designing and delivering a profitable product or feature into the market. In this program, you will learn to define product strategy and KPIs based on market analysis, pitch a product vision to get stakeholder buy-in, and design a user-centered prototype that adheres to engineering constraints. Then, you will develop an execution timeline that handles competing priorities, communicate a product roadmap that builds consensus amongst internal stakeholders, and create a comprehensive go-to-market plan based on product KPIs. Finally, you will build tests to enhance product features based on market data.
",,,[False],nd036,,"width:92.82937365010797%,width:92.82937365010797%",School of Business,,Become a Product Manager,https://www.udacity.com/course/product-manager-nanodegree--nd036
,"Advance your programming skills and refine your ability to work with messy, complex datasets. You’ll learn to manipulate and prepare data for analysis, and create visualizations for data exploration. Finally, you’ll learn to use your data skills to tell a story with data.",,,[False],nd002,,"width:92.3426212590299%,width:92.3426212590299%",School of Data Science,,Become a Data Analyst,https://www.udacity.com/course/data-analyst-nanodegree--nd002
,"In this program, you’ll learn foundational data skills that apply across functions and industries. You’ll learn to analyze data and build models with Excel, query databases using SQL, and create informative data visualizations with Tableau.",,,[False],nd098,,"width:94.967845659164%,width:94.967845659164%",School of Business,,Business Analytics,https://www.udacity.com/course/business-analytics-nanodegree--nd098
,"Learn the basics of quantitative analysis, including data processing, trading signal generation, and portfolio management. Use Python to work with historical stock data, develop trading strategies, and construct a multi-factor model with optimization.",,,[False],nd880,,"width:91.70642201834862%,width:91.70642201834862%",School of Artificial Intelligence,,Artificial Intelligence for Trading,https://www.udacity.com/course/ai-for-trading--nd880
,"Leverage market data to amplify product development. Learn how to apply data science techniques, data engineering processes, and market experimentation tests to deliver customized product experiences. Begin by leveraging the power of SQL and Tableau to inform product strategy. Then, develop data pipelines and warehousing strategies that prepare data collected from a product for robust analysis. Finally, learn techniques for evaluating the data from live products, including how to design and execute various A/B and multivariate tests to shape the next iteration of a product.",,,[False],nd030,,"width:88.11881188118814%,width:88.11881188118814%",School of Business,,Become a Data Product Manager,https://www.udacity.com/course/data-product-manager-nanodegree--nd030
,"Perform analysis on data stored in relational and non-relational database systems to power strategic decision-making. Learn to determine, create, and execute SQL and NoSQL queries that manipulate and dissect large scale datasets. Begin by leveraging the power of SQL commands, functions, and data cleaning methodologies to join, aggregate, and clean tables, as well as complete performance tune analysis to provide strategic business recommendations. Finally, apply relational database management techniques to normalize data schemas in order to build the supporting data structures for a social news aggregator.",,,[False],nd072,,"width:89.57983193277312%,width:89.57983193277312%",School of Data Science,,Learn SQL,https://www.udacity.com/course/learn-sql--nd072
,"You’ll master the skills necessary to become a successful Data Scientist. You’ll work on projects designed by industry experts, and learn to run data pipelines, design experiments, build recommendation systems, and deploy solutions to the cloud.
",,,[False],nd025,,"width:93.47342398022249%,width:93.47342398022249%",School of Data Science,,Become a Data Scientist,https://www.udacity.com/course/data-scientist-nanodegree--nd025
,"You'll first apply computer vision and deep learning to automotive problems, including detecting lane lines, predicting steering angles, and more. Next, you'll learn sensor fusion, which you'll use to filter data from an array of sensors in order to perceive the environment. Finally, you'll have an opportunity to run your code in a simulation on Udacity's self-driving car. ",,,[False],nd013,,"width:95.12297962052001%,width:95.12297962052001%",School of Autonomous Systems,,Become a Self-Driving Car Engineer,https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013
,"Get hands-on experience by coding five real-world projects. Learn to build a route planner using OpenStreetMap data, write a process monitor for your computer, and implement your own smart pointers. Finally, showcase all your newfound skills by building a multithreaded traffic simulator and coding your own C++ application.",,,[False],nd213,,"width:90.9241379310345%,width:90.9241379310345%",School of Autonomous Systems,,Become a C++ Developer,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213
,,,,[True],ud251,,,Career Advancement,,VR Interview Prep,https://www.udacity.com/course/vr-interview-prep--ud251
,,,,[True],ud240,,,Career Advancement,,iOS Interview Prep,https://www.udacity.com/course/ios-interview-prep--ud240
,,,,[True],ud1011,,,Career Advancement,,Data Structures & Algorithms in Swift,https://www.udacity.com/course/data-structures-and-algorithms-in-swift--ud1011
,,,,[True],ud034,,,Career Advancement,,Product Manager Interview Preparation,https://www.udacity.com/course/product-manager-interview-preparation--ud034
,"In this course you will learn data structures and algorithms by solving 80+ practice problems. You will begin each course by learning to solve defined problems related to a particular data structure and algorithm. By the end of each course, you would be able to evaluate and assess different data structures and algorithms for any open-ended problem and implement a solution based on your design choices.",,,[False],nd256,,"width:92.95418641390205%,width:92.95418641390205%",School of Programming & Development,,Data Structures and Algorithms,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256
,,,,[True],ud252,,,Career Advancement,,Full-Stack Interview Prep,https://www.udacity.com/course/full-stack-interview-prep--ud252
,,,,[True],ud250,,,Career Advancement,,Front-End Interview Prep,https://www.udacity.com/course/front-end-interview-prep--ud250
,,,,[True],ud1001,,,Career Advancement,,Machine Learning Interview Preparation,https://www.udacity.com/course/machine-learning-interview-prep--ud1001
,,,,[True],ud241,,,Career Advancement,,Android Interview Prep,https://www.udacity.com/course/android-interview-prep--ud241
,"The goal of the Full Stack Web Developer Nanodegree program is to equip learners with the unique skills they need to build database-backed APIs and web applications. A graduate of this program will be able to design and build databases for software applications, create and deploy database-backed web APIs, and secure and manage user authentication and access control for an application backend. Students will also learn how to deploy a Flask-based web application to the cloud using Docker and Kubernetes.",,,[False],nd0044,,"width:91.00182149362477%,width:91.00182149362477%",School of Programming & Development,,Full Stack Web Developer,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044
,,,,[True],ud242,,,Career Advancement,,Strengthen Your LinkedIn Network & Brand,https://www.udacity.com/course/strengthen-your-linkedin-network-and-brand--ud242
,,,,[True],ud244,,,Career Advancement,,Craft Your Cover Letter,https://www.udacity.com/course/craft-your-cover-letter--ud244
,,,,[True],ud120,,,School of Artificial Intelligence,,Introduction to Machine Learning Course,https://www.udacity.com/course/intro-to-machine-learning--ud120
,,,,[True],ud944,,,Career Advancement,,Data Science Interview Prep,https://www.udacity.com/course/data-science-interview-prep--ud944
,,,,[True],ud014,,,School of Artificial Intelligence,,AWS DeepRacer,https://www.udacity.com/course/aws-deepracer--ud014
,,,,[True],ud243,,,Career Advancement,,Refresh Your Resume,https://www.udacity.com/course/refresh-your-resume--ud243
,,,,[True],cs373,,,School of Artificial Intelligence,,Artificial Intelligence for Robotics,https://www.udacity.com/course/artificial-intelligence-for-robotics--cs373
,,,,[True],ud188,,,School of Artificial Intelligence,,Intro to Deep Learning with PyTorch,https://www.udacity.com/course/deep-learning-pytorch--ud188
,,,,[True],ud104,,,School of Artificial Intelligence,,Eigenvectors and Eigenvalues,https://www.udacity.com/course/eigenvectors-and-eigenvalues--ud104
,,,,[True],ud600,,,School of Artificial Intelligence,,Reinforcement Learning,https://www.udacity.com/course/reinforcement-learning--ud600
,,,,[True],ud187,,,School of Artificial Intelligence,,Intro to TensorFlow for Deep Learning,https://www.udacity.com/course/intro-to-tensorflow-for-deep-learning--ud187
,,,,[True],ud190,,,School of Artificial Intelligence,,Introduction to TensorFlow Lite,https://www.udacity.com/course/intro-to-tensorflow-lite--ud190
,,,,[True],ud810,,,School of Artificial Intelligence,,Introduction to Computer Vision,https://www.udacity.com/course/introduction-to-computer-vision--ud810
,,,,[True],ud651,,,School of Artificial Intelligence,,Data Analysis with R,https://www.udacity.com/course/data-analysis-with-r--ud651
,,,,[True],cs271,,,School of Artificial Intelligence,,Intro to Artificial Intelligence,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271
,,,,[True],ud409,,,School of Artificial Intelligence,,Knowledge-Based AI: Cognitive Systems,https://www.udacity.com/course/knowledge-based-ai-cognitive-systems--ud409
,,,,[True],ud257,,,School of Artificial Intelligence,,A/B Testing,https://www.udacity.com/course/ab-testing--ud257
,,,,[True],ud501,,,School of Artificial Intelligence,,Machine Learning for Trading,https://www.udacity.com/course/machine-learning-for-trading--ud501
,,,,[True],ud617,,,School of Artificial Intelligence,,Intro to Hadoop and MapReduce,https://www.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617
,,,,[True],ud262,,,School of Artificial Intelligence,,Machine Learning,https://www.udacity.com/course/machine-learning--ud262
,,,,[True],ud919,,,School of Artificial Intelligence,,Model Building and Validation,https://www.udacity.com/course/model-building-and-validation--ud919
,,,,[True],ud507,,,School of Artificial Intelligence,,Data Visualization and D3.js,https://www.udacity.com/course/data-visualization-and-d3js--ud507
,,,,[True],ud185,,,School of Artificial Intelligence,,Secure and Private AI,https://www.udacity.com/course/secure-and-private-ai--ud185
,,,,[True],ud381,,,School of Artificial Intelligence,,Real-Time Analytics with Apache Storm,https://www.udacity.com/course/real-time-analytics-with-apache-storm--ud381
,,,,[True],ud954,,,School of Artificial Intelligence,,Artificial Intelligence,https://www.udacity.com/course/artificial-intelligence--ud954
,,,,[True],ud132,,,School of Artificial Intelligence,,Intel® Edge AI Fundamentals with OpenVINO™,https://www.udacity.com/course/intel-edge-AI-fundamentals-with-openvino--ud132
,,,,[True],ud827,,,School of Artificial Intelligence,,Intro to Descriptive Statistics,https://www.udacity.com/course/intro-to-descriptive-statistics--ud827
,,,,[True],ud758,,,School of Artificial Intelligence,,Big Data Analytics in Healthcare,https://www.udacity.com/course/big-data-analytics-in-healthcare--ud758
,,,,[True],ud953,,,School of Artificial Intelligence,,Linear Algebra Refresher Course,https://www.udacity.com/course/linear-algebra-refresher-course--ud953
,,,,[True],ud741,,,School of Artificial Intelligence,,Machine Learning: Unsupervised Learning,https://www.udacity.com/course/machine-learning-unsupervised-learning--ud741
,,,,[True],ud9876,,,School of Autonomous Systems,,Cyber-Physical Systems Design & Analysis,https://www.udacity.com/course/cyber-physical-systems-design-analysis--ud9876
,,,,[True],ud080,,,School of Cloud Computing,,Intro to Cloud Computing,https://www.udacity.com/course/intro-to-cloud-computing--ud080
,,,,[True],ud0419,,,School of Autonomous Systems,,Self-Driving Fundamentals: Featuring Apollo ,https://www.udacity.com/course/self-driving-car-fundamentals-featuring-apollo--ud0419
,,,,[True],ud0321,,,School of Cloud Computing,,Hybrid Cloud Fundamentals,https://www.udacity.com/course/hybrid-cloud-fundamentals--ud0321
,,,,[True],cs222,,,School of Autonomous Systems,,Differential Equations in Action,https://www.udacity.com/course/differential-equations-in-action--cs222
,,,,[True],ud942,,,School of Business,,Managing Remote Teams with Upwork,https://www.udacity.com/course/managing-remote-teams-with-upwork--ud942
,,,,[True],ud806,,,School of Business,,Get Your Startup Started,https://www.udacity.com/course/get-your-startup-started--ud806
,,,,[True],ep245,,,School of Business,,How to Build a Startup,https://www.udacity.com/course/how-to-build-a-startup--ep245
,,,,[True],ud518,,,School of Business,,App Monetization,https://www.udacity.com/course/app-monetization--ud518
,,,,[True],ud979,,,School of Business,,A/B Testing for Business Analysts,https://www.udacity.com/course/ab-testing--ud979
,,,,[True],ud980,,,School of Business,,Time Series Forecasting,https://www.udacity.com/course/time-series-forecasting--ud980
,,,,[True],ud509,,,School of Business,,Product Design,https://www.udacity.com/course/product-design--ud509
,,,,[True],ud981,,,School of Business,,Segmentation and Clustering,https://www.udacity.com/course/segmentation-and-clustering--ud981
,,,,[True],ud719,,,School of Business,,App Marketing,https://www.udacity.com/course/app-marketing--ud719
,,,,[True],ud978,,,School of Business,,Classification Models,https://www.udacity.com/course/classification-models--ud978
,,,,[True],ud976,,,School of Business,,Problem Solving with Advanced Analytics,https://www.udacity.com/course/problem-solving-with-advanced-analytics--ud976
,,,,[True],ud977,,,School of Business,,Creating an Analytical Dataset,https://www.udacity.com/course/creating-an-analytical-dataset--ud977
,,,,[True],ud723,,,School of Business,,Rapid Prototyping,https://www.udacity.com/course/rapid-prototyping--ud723
,,,,[True],ud2002,,,School of Data Science,,Spark,https://www.udacity.com/course/learn-spark-at-udacity--ud2002
,,,,[True],ud170,,,School of Data Science,,Intro to Data Analysis,https://www.udacity.com/course/intro-to-data-analysis--ud170
,,,,[True],ud201,,,School of Data Science,,Intro to Inferential Statistics,https://www.udacity.com/course/intro-to-inferential-statistics--ud201
,,,,[True],ud359,,,School of Data Science,,Intro to Data Science,https://www.udacity.com/course/intro-to-data-science--ud359
,,,,[True],ud404,,,School of Data Science,,Data Analysis and Visualization,https://www.udacity.com/course/data-analysis-and-visualization--ud404
,,,,[True],ud862,,,School of Programming & Development,,Material Design for Android Developers,https://www.udacity.com/course/material-design-for-android-developers--ud862
,,,,[True],ud407,,,School of Programming & Development,,Engagement & Monetization | Mobile Games,https://www.udacity.com/course/engagement-monetization-mobile-games--ud407
,,,,[True],ud198,,,School of Data Science,,SQL for Data Analysis,https://www.udacity.com/course/sql-for-data-analysis--ud198
,,,,[True],ps001,,,School of Programming & Development,,Intro to Psychology,https://www.udacity.com/course/intro-to-psychology--ps001
