category,characteristics,cost,description,description_extend,duration,free,id_course,instructor,language,n_students,rating,sessions,subcategory,title,url
Diseño,,€19.99,Learn all of the Fundamentals of Low Poly Designing. Create Realistic 3D Models. Learn How to Replicate Real World.,"Want to learn fundamentals of 3D modeling and do it fast? This course is your way to go. Beginning Courses are generally slow paced and sometimes boring and too complicated but with this course you can easily burn your tires and go beyond your expectations.,In this course you will get this different than others:,How to look real world objects and how to replicate them.,How to follow a blueprint and complete hollows with reference images.,Simple tricks about materials, not just assign some color.,Workflow to keep things simple.,How to fix your geometry without struggle.,Pitfalls waiting you ahead and how to notice them.,Low poly models which really look nice, not just like cubes.,Using noises to create small terrain while creating scene.,An instructor always shows you where model can fail and how to fix it.,After you complete this course you can create any model you want in low poly. I really guarantee it. While recording this course no video deleted, every possible mistake shown and fixed within record intentionally so there will be no ""This doesn't happen like this"". Because as a learner you will mix every possible option to create your own models and this is normal. An instructor should know you can do this things and have to show you what is different in a good workflow.,Sections:,Learn the basics,Go with some low poly models like a cottage, tree and stone,Create an hatchback car from a blueprint found on internet(I will show you where to find, not just share you),Create a pick-up from a real world blueprint.,Create a scene.,Two cars made in this course are real cars, so there is no made up things to give a direction to design. This is very important, so you know where to look in real world applications.",,[False],[3335916],Muhammet Ali Baturhan Aktekin,"
,
Inglés
","
8 estudiantes
","5,0",6 secciones,3D & Animation,All Aspects of Low Poly Blender 2.8,https://www.udemy.com/course/all-aspects-of-low-poly-blender/
Diseño,,€19.99,"Sculpt, unwrap, and texture this stylized character head from start-to-finish!","In this course the student will learn the pipeline on how to create a hand painted character bust. The student will begin with sculpting a high poly base model in Zbrush from a sphere using standard brushes. Then, once the base is completed the student will learn how to create a low poly model with animation ready topology. Once the low poly is created the student will uv unwrap the model using the unwrapping tools exclusively in 3D Max and prepare a clean layout ready for texturing. When the unwrap and layout are complete the student will be introduced to 3D Coat. Within 3D Coat the student will begin to bring their model to life. They will be shown hand painted texture techniques using a build up method. After the character is painted the student will learn how to pose their character in 3D Coat which will complete the course.",,[False],[3282786],3dmotive LLC,"
,
Inglés
","
12 estudiantes
","5,0",2 secciones,3D & Animation,Learn to Make a Hand Painted Character Bust with ZBrush,https://www.udemy.com/course/3dmotive-learn-to-make-a-hand-painted-character-bust-with-zbrush/
Diseño,,€24.99,Learn How to Create Amazing Motion Graphic and Infographics in After effects A-Z (10 Project),"Hello and welcome to infographics and data visualization course.,By the end of this course, you can create amazing infographics in after effects.,You don’t need any previous knowledge in After effects or any motion graphics experience,We will start the course by the basics of After Effects you will learn everything you need to know to start working with After Effects .,In this Course We Cover:,• Infographics,• Motion Graphic,• Creative Text animation.,• Easing and motion blur.,• Create Nice Background,• Working With Shape Layers,• Design Infographics,• Working with Keyframes,• Motion Graphic techniques,• Working with Effects,• Expression,• Masking,• Animate Infographics,• Graph Editor,• 10 Real Project – Zero to Hero,• Render Project,In this course, we are going to work on 10 real projects. You will learn step by step how to make each of them. Not only this you will have access to the project files and dive deep into them.,Download all the project files now, you will need it from the first lesson.,What you get in this Course:,• Downloadable projects (10 Project),• Premium support from instructor to answer any questions,• Premium support from instructor to answer any questions,• Mounthly updates of the course,If you’ve been excited by the world of motion graphics but still haven’t started. This beginner course is perfect for you. ,Enroll in the course I see you in the first lesson,Cheers.,Motion Royals Team",,[False],[3349038],Motion Royalls,"
,
Inglés
","
1.641 estudiantes
","5,0",3 secciones,3D & Animation,After Effects: Amazing Infographics and Data Visualization,https://www.udemy.com/course/after-effects-amazing-infographics-and-data-visualization/
Diseño,,€49.99,Create iconic designs and images using Maya,"Ever wanted to create iconic image? maybe even design your own concept?,
,This course will take you step by step with some of the processes used to create a concept or iconic image using Maya a professional 3D modelling software,
,""In this course we will create an iconic chair by Charles Eames,"",Maya 3D Modelling Iconic Design overview,We will look at the following course topics during this course:,Selecting good reference images,Creating planes to model against in Maya,Box modelling in Maya, this is the most basic and most used method of modelling within 3D aplications,NURBS modelling this more complex form of modelling is great for adjusting and fine tuning your geometry,Geometry conversion we will show you how to convert NURB surface to Poly Surfaces,We will look at the following Bevelling, Extruding, Merging vertices,Geometry selection types,Tool preferences,Model cleanup,Simple renders from Maya and Mental ray,Although this course on Modelling is all about modelling at the end I will show you how to render from Maya software renderer and Mental ray.,I hope you enjoy this first course from us on Maya, stay tuned for many other great courses presented on Udemy from UK ONLINE TRAINING CENTRE.,
",,[False],[916552],UK Online Training Centre,"
,
Inglés
","
682 estudiantes
","5,0",2 secciones,3D & Animation,Maya 3D Modelling Iconic Designs,https://www.udemy.com/course/maya-3d-modelling-iconic-designs/
Diseño,,€24.99,Learn powerful modeling and rendering tools in Maya to create a 3D sci-fi vehicle from scratch.,"Maya 3D Masterclass - Modeling a 3D Sci-Fi Vehicle in Maya,This comprehensive course is over 23 hours long and dives deep into the modeling tools in Maya.,I begin with showing you the three most common modeling tools in Maya:,Bevel Tool,Multi-Cut Tool,Extrude Tool,And from that point on we dive deep into modeling the famous Landspeeder from Star Wars.,We begin by blocking out the basic shape of the Landspeeder. We will block out the main body, or the chassis as it's usually called, followed by the wings, the cockpit area and the wings.,Then we will move on to the next step and add details to all of the Landspeeder parts  - the turbine engines, the cockpit, the repulsor vents, every inch of the model.,Along the way I will show you my modeling techniques. The instructions are clear and precise, and easy to follow along. I will explain my techniques and why I use them.,Then we will dive into how to set up the camera, how to set up the lighting and finally, we will be rendering the Landspeeder so you will end up with a professional looking model you can add to your showreel.,So let's dive into this course and become a master at 3D modeling in Maya.",,[False],[3722808],Digital Saucer Studios,"
,
Inglés
","
17 estudiantes
","5,0",3 secciones,3D & Animation,Maya 3D Masterclass - Modeling a 3D Sci-Fi Vehicle in Maya,https://www.udemy.com/course/maya-3d-masterclass-modeling-a-3d-sci-fi-vehicle-in-maya/
Diseño,,€24.99,Learn to create your own Instagram/Facebook AR Filter using SPARK AR!,"In the recent years ,Augmented Reality, has become a crucial part of the top social media platforms. Especially with the increased use of ,Instagram’s Stories-Feature,, AR filters reached new hights in popularity. This trend is not expected to stop in the next few years. In contrary – Augmented Reality is expected to be worth $160 Billion by ,2024,. Facebook made it possible to access this market, with the release of the free software ,SPARK AR Studio, – the only tool to create filters and effects, for their platforms Instagram/Facebook.,With the right knowledge about Spark AR you can be one of the, first to adapt, to this growing trend. Now is the moment to benefit from this opportunity and be one of the earliest people to be capable of creating ,entirely new and creative content, for Instagram/Facebook. As AR filters are more ,personalized content, for your audience and support the ,active participation, of the viewer, they are a faster, cheaper and more sustainable way to grow your online presence.,You can use your knowledge about Spark AR in various ways – regardless of whether it is to increase your own reach or that of your brand, sell the filters to companies, or just to create fun content for you and your friends.,Instagram/Facebook filters are the hidden secret to ,online growth,, increased ,brand recognition, and gaining ,attraction for you or your project, – and with your own interactive and engaging AR effects you, your profile, your brand/company will stand out from the crowd.,This course will give you a fully featured guide through Spark AR. ,Step-by-Step, you’ll learn how to create your first Instagram/Facebook filters. I’ll guide you from the fundamentals to creating your own, more ,advanced, filter. This tutorial is not just made for you to follow along, instead it is crucial that you understand the ,logic, and the ,purpose ,of the different implementations. You’ll receive all the files, so that you can start right away. Regardless of your own skill level or previous experience, you’ll learn how to create your own AR filters.,In this complete guide to Spark AR we're going to create ,three, different filters. Each filter increases the ,level of difficulty, step-by-step. I created the course in a way that you can build all the effects together with me, as you follow my instructions. By getting active with me, you'll learn what the, logic, behind these effects is and how the different parts work together - so that you can later use your knowledge for your own ideas. ,I uploaded all the files I use to make it easy for you to follow along,.,It was important to me that the filters on which we are working contain several different tools and options, so that you'll learn as much as possible. This course will cover everthing you need to know to start creating, including ... :,Get a first impression of the ,layout, and the different capabilities,Track a users face in the camera with a ,FaceTracker ,Insert ,meshes, on the face of a person ,Create personalized content with custome made ,textures ,and ,pictures,Insert ,3D objects, and track them with the movement of the head,Create logical procedures with the ,Patch Editor, to make your effect interesting and engaging,Work with ,planes, animation sequences, ,different ,shader types ,and ,particle emmiter,Use ,Face Assets, and the ,HeadOccluder,Avoid ,common errors,...,If your are ready to take your skill set, online content and carrer opportunities to the next level sign into the course and learn everything you need to become a AR filter creator. The ,future of social media, is ,augmented reality, and you can be one of the first people to gain ,valuable knowledge, in this industry. ,See you in the first lesson, ,Toni ",,[False],[3813022],Toni Kirscht,"
,
Inglés
","
4 estudiantes
","5,0",5 secciones,3D & Animation,Create Your Own Instagram Filter with Spark AR,https://www.udemy.com/course/spark-ar-beginner-course/
Diseño,,€29.99,Learn the basic for using Autodesk 3D Studio Max,"Welcome to my beginners course for 3Ds Max. In this course I'll show you the basics and how to use the software so that you can start your journey as a 3D Artist. I'm Stefan Ivanov a professional 3D Artist with more than 12 years of experience from this 12 years, 5 I worked in key positions where creating internal training and presentations for different events were some of my responsibilities. The structure and information in the course is going to be based on modern studio standards and cover key topics.,KEY TOPICS:,- Interface - I'll help you understand the logic behind 3Ds Max interface, so that you will remember where different types functions can be found.,- Navigation - Navigating in 3D space can be hard in the beginning, but with the exercises and videos in this course you will get the hang of it in no time.,- 3D Primitives - Understanding what primitives are and what shapes are included in 3Ds Max can be very useful for your projects.,- Editable Poly and from what are 3D models constructed,- Modifiers - We will look into some useful modifies and explore how they work.,- Splines - One of the most powerful tools inside 3Ds Max.,- Animation basics - I'll cover a little bit of animation basics, in case you are an animator that is not starting its career.,- Materials - We will look into the 3Ds Max material editor.,- Rendering - Once you've done something amazing of course you will want to share it and what better way than creating a beautiful render of it.,I'll explain for each function the logic behind it and in what cases it can be used. This will give you the confidence of trying and exploring new ways of modeling, using modifiers and boost your creativity. The course is packed with information and exercises for you that are designed to polish the most important skills for beginners. After finishing the course you will feel confident to start an intermediate level course for specific topics.",,[False],[3809454],Stefan Ivanov,"
,
Inglés
","
4 estudiantes
","5,0",1 sección,3D & Animation,How to use 3Ds Max for Beginners,https://www.udemy.com/course/3dsmaxbeginners/
Diseño,,€39.99,English,"This is the level-1 of  course which will coverage the following topics:,•,Belts and chains,•,Sketch blocks,•,Multi-bodies,•,Split tool,•,3D Sketch,•,Advanced Weldments,•,Sheet Metal Import and Modification,All above points discuses in example videos,You can perfectly follow this course if you have SOLIDWORKS versions 2017, 2018,2019 and 2020.. However, this course is delivered using SOLIDWORKS 2017.",,[False],[1874430],Ali Nasser,"
,
Inglés
","
2 estudiantes
","5,0",1 sección,3D & Animation,Get Certified Solidworks Expert-Part-1,https://www.udemy.com/course/prepration_for_solidworks_exam/
Diseño,,€109.99,Learn 2D animated graphics to make videos on your own. Vyond: animation and motion graphics software,"A great course on Vyond., (maybe you know it used to be called GoAnimate). In the video course I will guide you every step of the way, with every single tool, showing you the best methods that I myself have used to create many videos for my clients.,This video course is ,a quick way to learn software, and get started right away,It will be ,very easy to go from studying to making your first movie,I'll show you ,all the tools to create a complete video,You will see how to use the tools (even in an advanced way) ,and make videos that are not simply good, rather outstanding!,The sections of the course will lead you to study all the tools in the interface,I have been using Vyond for many years, since it was called GoAnimate and it was the only software program for building 2D animations. Today it is the most widely used program and certainly the most frequently imitated. Since it changed its name to Vyond Studio it has become a super software program that will allow you to build videos of all kinds, in fact even customize characters through the Character Creator , making them look like whoever you want!,Vyond promises anyone will be able to make their own videos, even those who have never made a graphic or a video!,What videos can you build?,Communication, videos,Marketing, videos,Sales, videos,Branding, videos,Storytelling, videos,Fiction, videos,... and many others. With Vyond Studio, the sky’s the limit!,I have created specific sections, by dividing everything you will learn during the course by topic:,Introduction (lessons 1-4),The tools lez. (5-28),Context-sensitive tools (lessons 29-36),Timeline (Lesson 37),Vyond in constant growth (lessons 38-41),REMEMBER: ,it is not important that you have 2D graphics basics,, Vyond is the right tool even for those who do not know the world of video or the world of animation at all. ,It is the right tool for you and it will quickly teach you how to make your videos!,I really hope you can be with me throughout this journey, which I have designed with passion and professionalism.,Thanks for your attention, a warm greeting.,Giovanni",,[False],[3681274],Novacom video courses,"
,
Inglés
","
13 estudiantes
","5,0",5 secciones,3D & Animation,Vyond: how to make 2D animation videos,https://www.udemy.com/course/vyond-how-to-make-2d-animation-videos/
Diseño,,€44.99,Step by Step Training to Creating Fun Cartoon Characters in zBrush!,"This course is for anyone who wants to learn a great
workflow for creating high quality 3D cartoon characters in zBrush. We
will cover all the basics and show you how you can take any drawing and turn it into a
clean high end 3D model.,
,We will cover important
sculpting techniques and I will show you how to properly paint your
model inside zBrush. We will also take a look at some of the more
popular brushes and alphas which you can use to add fantastic skin
detail and paint any design you want on your own character.,
,We
will end the course by bringing our final model into Keyshot via the new zBrush to Keyshot Bridge plugin.",,[False],[1120252],Alan Balodi,"
,
Inglés
","
123 estudiantes
","5,0",3 secciones,3D & Animation,Learn How to Create a Cartoon Bird in zBrush,https://www.udemy.com/course/learn-how-to-create-a-cartoon-bird-in-zbrush/
