difficulty,total_hours,enrolled,rating,institution
beginner,120.0,0.0,4.3,IBM
advanced,240.0,542057.0,4.8,Google
beginner,160.0,208490.0,4.7,Google
beginner,56.0,0.0,3.8,National Research Nuclear University MEPhI
intermediate,168.0,16289.0,4.3,Moscow Institute of Physics and Technology
beginner,144.0,0.0,4.9,HSE University
beginner,96.0,4200.0,4.7,HSE University
beginner,72.0,25412.0,4.7,University of Michigan
intermediate,416.0,2498.0,4.4,Saint Petersburg State University
intermediate,120.0,0.0,4.8,Arizona State University
intermediate,224.0,38023.0,4.7,Moscow Institute of Physics and Technology
beginner,56.0,0.0,4.1,Saint Petersburg State University
intermediate,96.0,13679.0,4.6,Moscow Institute of Physics and Technology
intermediate,120.0,6550.0,4.4,Moscow Institute of Physics and Technology
beginner,14.0,0.0,4.7,IBM
beginner,10.0,2470.0,4.1,Sciences Po
advanced,40.0,23979.0,4.3,The State University of New York
intermediate,16.0,18076.0,4.6,University at Buffalo
beginner,112.0,3625.0,4.7,University of Minnesota
intermediate,168.0,0.0,4.7,HSE University
beginner,32.0,0.0,4.8,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России)
beginner,60.0,0.0,4.9,Berklee College of Music
beginner,348.0,0.0,4.7,Saint Petersburg State University
beginner,96.0,0.0,4.7,Saint Petersburg State University
beginner,48.0,6918.0,4.4,Yonsei University
beginner,80.0,87869.0,4.8,California Institute of the Arts
beginner,6.0,4024.0,4.7,Case Western Reserve University
beginner,12.0,16314.0,4.6,"University of California, Davis"
intermediate,13.0,12953.0,4.5,INSEAD
beginner,16.0,0.0,4.7,Google Cloud
intermediate,2.0,0.0,4.7,Coursera
beginner,2.0,0.0,4.7,Coursera
intermediate,2.0,0.0,4.7,Coursera
beginner,72.0,50644.0,4.7,University of Alberta
beginner,48.0,0.0,3.9,Saint Petersburg State University
beginner,80.0,14486.0,4.7,Berklee College of Music
beginner,72.0,39793.0,4.4,Indian School of Business
beginner,3.0,0.0,4.6,Association of International Certified Professional Accountants
beginner,140.0,30370.0,4.7,University of Illinois at Urbana-Champaign
beginner,4.0,0.0,5.0,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России)
beginner,21.0,5036.0,4.6,University of Colorado Boulder
beginner,72.0,7222.0,4.8,University of Colorado System
intermediate,2.0,1738.0,4.7,Coursera
beginner,2.0,0.0,4.7,Coursera
beginner,48.0,0.0,4.7,University of Michigan
intermediate,80.0,7265.0,4.5,Fundação Instituto de Administração
beginner,49.0,28396.0,4.9,University of Alberta
beginner,48.0,0.0,4.9,"University of California, Davis"
intermediate,1.0,0.0,4.7,Coursera
intermediate,1.5,0.0,4.7,Coursera
beginner,19.0,17167.0,4.4,Northwestern University
beginner,84.0,0.0,4.4,
beginner,10.0,25190.0,4.8,The University of Edinburgh
intermediate,30.0,41446.0,4.8,"University of California, Santa Cruz"
intermediate,2.0,0.0,4.7,Coursera
intermediate,1.0,0.0,4.7,Coursera
advanced,3.0,1545.0,4.7,Yandex
beginner,3.0,0.0,4.8,Association of International Certified Professional Accountants
intermediate,48.0,30678.0,4.8,Google Cloud
beginner,96.0,2178.0,4.8,University of Illinois at Urbana-Champaign
intermediate,48.0,11983.0,4.6,Alberta Machine Intelligence Institute
beginner,2.0,0.0,4.7,Coursera
beginner,48.0,15303.0,4.7,Imperial College London
beginner,5.0,6748.0,4.8,Pontificia Universidad Católica de Chile
beginner,15.0,89013.0,4.6,HEC Paris
intermediate,6.0,0.0,4.7,
intermediate,10.0,29283.0,4.6,"University of California, Santa Cruz"
beginner,14.0,4290.0,4.9,Duke University
beginner,48.0,3579.0,4.8,IESE Business School
beginner,12.0,13137.0,4.5,Amazon Web Services
advanced,22.0,3820.0,4.8,"University of California, Santa Cruz"
beginner,120.0,2094.0,4.7,Coursera
intermediate,72.0,0.0,3.9,Google Cloud
beginner,60.0,25072.0,4.7,ESSEC Business School
advanced,176.0,19403.0,4.6,Stanford University
intermediate,9.0,4748.0,4.8,Icahn School of Medicine at Mount Sinai
intermediate,12.0,7232.0,4.7,Duke University
beginner,1.5,0.0,4.7,Coursera
beginner,60.0,0.0,4.4,"University of California, Irvine"
beginner,72.0,18613.0,4.8,Technion - Israel Institute of Technology
beginner,6.0,0.0,4.7,"University of California, Irvine"
beginner,2.0,0.0,4.6,EIT Digital 
beginner,1.0,0.0,4.7,Coursera
beginner,15.0,122495.0,4.5,"University of California, Santa Cruz"
beginner,22.0,119652.0,4.7,University of Kentucky
beginner,8.0,7669.0,4.8,Universitat Autònoma de Barcelona
beginner,7.0,7590.0,4.6,Wesleyan University
beginner,8.0,0.0,4.7,
intermediate,14.0,18519.0,4.3,Vanderbilt University
beginner,72.0,6951.0,4.8,University of Colorado Boulder
intermediate,72.0,2525.0,4.6,Google Cloud
beginner,15.0,12044.0,4.8,The World Bank Group
intermediate,12.0,114266.0,4.6,"University of California, Santa Cruz"
beginner,13.0,78113.0,4.4,University of California San Diego
beginner,19.0,122051.0,4.6,University at Buffalo
intermediate,96.0,51412.0,4.6,DeepLearning.AI
beginner,2.0,0.0,4.7,Coursera
intermediate,72.0,0.0,3.8,EIT Digital 
beginner,48.0,6843.0,4.8,HubSpot Academy
advanced,140.0,7384.0,4.8,University of Colorado Boulder
intermediate,26.0,8919.0,4.5,Fundação Instituto de Administração
beginner,11.0,26219.0,4.7,University of Virginia
intermediate,2.0,0.0,4.7,Coursera
beginner,120.0,18188.0,4.7,Coursera
beginner,9.0,185494.0,4.7,University of Michigan
intermediate,10.0,8680.0,3.9,Universidad Nacional Autónoma de México
beginner,11.0,46577.0,4.7,
beginner,21.0,7793.0,4.8,University of London
beginner,10.0,0.0,4.7,
beginner,10.0,12403.0,4.4,Berklee College of Music
beginner,12.0,0.0,4.7,IBM
beginner,48.0,19104.0,4.8,Northwestern University
beginner,14.0,1675.0,4.8,University of Virginia
intermediate,35.0,65737.0,3.8,Duke University
beginner,18.0,60731.0,4.4,University of California San Diego
beginner,3.0,5412.0,4.5,EIT Digital 
intermediate,72.0,0.0,4.6,Google Cloud
beginner,60.0,30396.0,4.8,Berklee College of Music
beginner,800.0,22723.0,4.7,National Research Tomsk State University
beginner,72.0,7007.0,4.6,West Virginia University
intermediate,3.0,1597.0,5.0,University of Colorado System
beginner,6.0,130522.0,4.7,"University of California, Irvine"
intermediate,30.0,41111.0,4.8,University of Washington
beginner,2.0,0.0,4.7,Coursera
beginner,120.0,2196.0,4.7,Coursera
beginner,29.0,9580.0,4.6,Macquarie University
intermediate,31.0,105640.0,4.7,University of Michigan
intermediate,8.0,0.0,4.7,
beginner,12.0,24169.0,4.4,Sciences Po
intermediate,21.0,4213.0,4.8,University of Geneva
intermediate,60.0,0.0,4.9,LearnQuest
beginner,32.0,1639.0,4.6,
intermediate,60.0,1776.0,4.7,Berklee College of Music
intermediate,100.0,75071.0,4.5,Google Cloud
beginner,10.0,58222.0,4.7,University of Copenhagen
beginner,9.0,10417.0,4.8,New Teacher Center
intermediate,41.0,47085.0,4.0,Yandex
beginner,1.5,1817.0,4.7,Coursera
beginner,48.0,0.0,4.6,Berklee College of Music
beginner,6.0,0.0,4.7,"University of California, Irvine"
advanced,56.0,16324.0,4.9,
intermediate,28.0,146336.0,4.8,University of Washington
intermediate,2.0,0.0,4.7,Coursera
beginner,2.0,0.0,4.7,Coursera
intermediate,2.0,0.0,4.7,Coursera
beginner,11.0,2735.0,4.7,Michigan State University
intermediate,13.0,19045.0,4.7,University of Michigan
intermediate,7.0,0.0,4.7,
beginner,17.0,7725.0,4.9,"University of California, Irvine"
beginner,11.0,103427.0,4.8,University of Colorado Boulder
beginner,12.0,7706.0,4.7,Sciences Po
intermediate,48.0,21794.0,4.5,DeepLearning.AI
advanced,33.0,63318.0,4.5,HSE University
beginner,30.0,15733.0,4.7,Yonsei University
intermediate,21.0,7417.0,4.8,University of Colorado Boulder
intermediate,72.0,0.0,4.2,Google Cloud
beginner,1.0,3721.0,4.7,Coursera
beginner,40.0,9772.0,4.7,Berklee College of Music
beginner,80.0,17988.0,4.7,MathWorks
beginner,48.0,6146.0,4.6,Macquarie University
beginner,13.0,75912.0,4.7,Georgia Institute of Technology
beginner,16.0,516406.0,4.8,Princeton University
intermediate,1.0,2555.0,4.7,Coursera
beginner,40.0,13813.0,4.7,SAS
intermediate,24.0,69768.0,4.8,University of Washington
beginner,10.0,4349.0,4.6,Rice University
beginner,10.0,0.0,4.7,Google Cloud
beginner,14.0,9880.0,4.8,"University of California, Irvine"
intermediate,32.0,15535.0,4.0,HSE University
beginner,0.0,0.0,4.7,Coursera
intermediate,120.0,5142.0,4.8,DeepLearning.AI
