collaboration,description,difficulty,duration,free,id_course,n_reviews,rating,school,skills,title,url,language,time_range
Insight,"Learn to design data models, build data warehouses and data lakes, automate data pipelines, and work with massive datasets. At the end of the program, you’ll combine your new skills by completing a capstone project.",intermediate,200.0,0,nd027,918,91.08932461873638,School of Data Science,"Data Modeling, Data Pipelines, Data Lakes, Spark, Airflow",Become a Data Engineer,https://www.udacity.com/course/data-engineer-nanodegree--nd027,English,months
"Google, Hootsuite, HubSpot, MailChimp, Moz, Facebook","Learn to create marketing content, use social media to amplify your message, make content discoverable in search, run Ads campaigns and advertise on Facebook. Additionally, learn how display and video ads work and how to market with email, and measure and optimize with Google Analytics.",beginner,120.0,0,nd018,1753,93.96463205932687,School of Business,"Digital Marketing, Social Media Marketing, Facebook Marketing, Search Engine Optimization, Search Engine Marketing, Display Ads, Search Ads",Become a Digital Marketer,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,English,months
,"You’ll learn how to create a digital user experience that is ready to be handed off for development. You’ll start by building familiarity and fluency with design research fundamentals to identify the user and the solutions they need. You’ll then synthesize your research, and use design sprints to take an idea from concept to low-fidelity prototype. Finally, you’ll learn how to turn your low-fidelity prototype into a high-fidelity design, and improve its performance based on data.

Along the way, you’ll complete projects that can be incorporated into a UX portfolio at the end of the program in order to showcase your capabilities to future employers.",beginner,120.0,0,nd578,619,94.24878836833604,School of Business,"User Research, User Experience, Prototyping, Interactive Design, User Interface Design, Usability Testing",Become a UX Designer,https://www.udacity.com/course/ux-designer-nanodegree--nd578,English,months
"AWS, Facebook Artificial Intelligence","Become an expert in neural networks, and learn to implement them using the deep learning framework PyTorch. Build convolutional networks for image recognition, recurrent networks for sequence generation, generative adversarial networks for image generation, and learn how to deploy models accessible from a website.",intermediate,160.0,0,nd101,2893,93.2181126857933,School of Artificial Intelligence,"Deep Learning, Neural Networks, Jupyter Notebooks, CNNs, GANs",Deep Learning,https://www.udacity.com/course/deep-learning-nanodegree--nd101,English,months
,"The goal of the Full Stack Web Developer Nanodegree program is to equip learners with the unique skills they need to build database-backed APIs and web applications. A graduate of this program will be able to design and build databases for software applications, create and deploy database-backed web APIs, and secure and manage user authentication and access control for an application backend. Students will also learn how to deploy a Flask-based web application to the cloud using Docker and Kubernetes.",intermediate,160.0,0,nd0044,517,90.87040618955513,School of Programming & Development,"Python, JavaScript, PostgreSQL, Flask, Docker, Kubernetes",Full Stack Web Developer,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,English,months
,"Learn the basics of programming through HTML, CSS, and Python. Explore possible programming paths with our final project selection. Get confident in your ability to think and problem-solve like a programmer. Be primed and ready for our career-ready programs after mastering these projects.",beginner,160.0,0,nd000,3045,93.64203612479474,School of Programming & Development,"Introduction to Programming, HTML, CSS, Python",Learn to Code,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,English,months
,"Get hands-on experience by coding five real-world projects. Learn to build a route planner using OpenStreetMap data, write a process monitor for your computer, and implement your own smart pointers. Finally, showcase all your newfound skills by building a multithreaded traffic simulator and coding your own C++ application.",intermediate,160.0,0,nd213,680,90.7941176470588,School of Autonomous Systems,"Data Structures & Algorithms, Memory Management, Concurrency, Object Oriented Programming, C++",Become a C++ Developer,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,English,months
"Bertelsmann, Figure Eight, IBM Watson, Insight, Kaggle, Starbucks","You’ll master the skills necessary to become a successful Data Scientist. You’ll work on projects designed by industry experts, and learn to run data pipelines, design experiments, build recommendation systems, and deploy solutions to the cloud.
",advanced,80.0,0,nd025,739,93.42354533152908,School of Data Science,"Machine Learning, Deep Learning, Software Engineering",Become a Data Scientist,https://www.udacity.com/course/data-scientist-nanodegree--nd025,English,months
"Tableau, Mode","In this program, you’ll learn foundational data skills that apply across functions and industries. You’ll learn to analyze data and build models with Excel, query databases using SQL, and create informative data visualizations with Tableau.",beginner,120.0,0,nd098,1161,95.02153316106802,School of Business,"Excel & Spreadsheets, SQL, Data Visualization, Data Dashboards",Business Analytics,https://www.udacity.com/course/business-analytics-nanodegree--nd098,English,months
"Kaggle, AWS","Learn advanced machine learning techniques and algorithms and how to package and deploy your models to a production environment. Gain practical experience using Amazon SageMaker to deploy trained models to a web application and evaluate the performance of your models. A/B test models and learn how to update the models as you gather more data, an important skill in industry. ",intermediate,120.0,0,nd009t,761,91.53745072273324,School of Artificial Intelligence,"Machine Learning, Supervised Learning, Unsupervised Learning, Deep Learning",Become a Machine Learning Engineer,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,English,months
