title,description
become a data engineer,"learn to design data models, build data warehouses and data lakes, automate data pipelines, and work with massive datasets. at the end of the program, you’ll combine your new skills by completing a capstone project."
become a digital marketer,"learn to create marketing content, use social media to amplify your message, make content discoverable in search, run ads campaigns and advertise on facebook. additionally, learn how display and video ads work and how to market with email, and measure and optimize with google analytics."
become a ux designer,"you’ll learn how to create a digital user experience that is ready to be handed off for development. you’ll start by building familiarity and fluency with design research fundamentals to identify the user and the solutions they need. you’ll then synthesize your research, and use design sprints to take an idea from concept to low-fidelity prototype. finally, you’ll learn how to turn your low-fidelity prototype into a high-fidelity design, and improve its performance based on data.

along the way, you’ll complete projects that can be incorporated into a ux portfolio at the end of the program in order to showcase your capabilities to future employers."
deep learning,"become an expert in neural networks, and learn to implement them using the deep learning framework pytorch. build convolutional networks for image recognition, recurrent networks for sequence generation, generative adversarial networks for image generation, and learn how to deploy models accessible from a website."
full stack web developer,"the goal of the full stack web developer nanodegree program is to equip learners with the unique skills they need to build database-backed apis and web applications. a graduate of this program will be able to design and build databases for software applications, create and deploy database-backed web apis, and secure and manage user authentication and access control for an application backend. students will also learn how to deploy a flask-based web application to the cloud using docker and kubernetes."
learn to code,"learn the basics of programming through html, css, and python. explore possible programming paths with our final project selection. get confident in your ability to think and problem-solve like a programmer. be primed and ready for our career-ready programs after mastering these projects."
become a c++ developer,"get hands-on experience by coding five real-world projects. learn to build a route planner using openstreetmap data, write a process monitor for your computer, and implement your own smart pointers. finally, showcase all your newfound skills by building a multithreaded traffic simulator and coding your own c++ application."
become a data scientist,"you’ll master the skills necessary to become a successful data scientist. you’ll work on projects designed by industry experts, and learn to run data pipelines, design experiments, build recommendation systems, and deploy solutions to the cloud.
"
business analytics,"in this program, you’ll learn foundational data skills that apply across functions and industries. you’ll learn to analyze data and build models with excel, query databases using sql, and create informative data visualizations with tableau."
become a machine learning engineer,"learn advanced machine learning techniques and algorithms and how to package and deploy your models to a production environment. gain practical experience using amazon sagemaker to deploy trained models to a web application and evaluate the performance of your models. a/b test models and learn how to update the models as you gather more data, an important skill in industry. "
become a data analyst,"advance your programming skills and refine your ability to work with messy, complex datasets. you’ll learn to manipulate and prepare data for analysis, and create visualizations for data exploration. finally, you’ll learn to use your data skills to tell a story with data."
intro to information security,"this course provides a one-semester overview of information security. it is designed to help students with,prior computer and programming knowledge — both undergraduate and graduate — understand this important,priority in society today. the technical content of the course gives a broad overview of essential concepts and,methods for providing and evaluating security in information processing systems (operating systems and,applications, networks, protocols, and so on). ,in addition to its technical content, the course touches on the,importance of management and administration, the place information security holds in overall business risk,,social issues such as individual privacy, and the role of public policy."
programming for data science with python,"learn the programming fundamentals required for a career in data science. by the end of the program, you will be able to use python, sql, command line, and git."
spark,"in this course, you’ll learn how to use spark to work with big data and build machine learning models at scale, including how to wrangle and model massive datasets with pyspark, the python library for interacting with spark. in the first lesson, you will learn about big data and how spark fits into the big data ecosystem. in lesson two, you will be practicing processing and cleaning datasets to get comfortable with spark’s sql and dataframe apis. in the third lesson, you will debug and optimize your spark code when running on a cluster. in lesson four, you will use spark’s machine learning library to train machine learning models at scale."
become a self-driving car engineer,"you'll first apply computer vision and deep learning to automotive problems, including detecting lane lines, predicting steering angles, and more. next, you'll learn sensor fusion, which you'll use to filter data from an array of sensors in order to perceive the environment. then, you'll work with a team to program carla, udacity’s real self-driving car. "
become a cloud dev ops engineer,"learn to design and deploy infrastructure as code, build and monitor ci/cd pipelines for different deployment strategies, and deploy scalable microservices using kubernetes. at the end of the program, you’ll combine your new skills by completing a capstone project."
intro to inferential statistics,"inferential statistics allows us to draw conclusions from data that might not be immediately obvious. this course focuses on enhancing your ability to develop hypotheses and use common tests such as t-tests, anova tests, and regression to validate your claims."
become an ai product manager,"you’ll learn how to evaluate the business value of an ai product. you’ll start by building familiarity and fluency with common ai concepts. you’ll then learn how to scope and build a data set, train a model, and evaluate its business impact. finally, you’ll learn how to ensure a product is successful by focusing on scalability, potential biases, and compliance. 

along the way, you’ll review case studies and examples to help you focus on how to define metrics to measure the business value for a proposed product. "
craft your cover letter,
reinforcement learning,"you should take this course if you have an interest in machine learning and the desire to engage with it from a theoretical perspective. through a combination of classic papers and more recent work, you will explore automated decision-making from a computer-science perspective. you will examine efficient algorithms, where they exist, for single-agent and multi-agent planning as well as approaches to learning near-optimal decisions from experience. at the end of the course, you will replicate a result from a published paper in reinforcement learning."
full-stack interview prep,
front-end interview prep,
machine learning interview preparation,"in this course, you’ll learn exactly what to expect during a machine learning interview. you’ll cover all the common questions and technical strategies, and review a range of important topics, from machine learning algorithms to image categorization. you’ll also learn best practices for data structure questions and whiteboard problems, and at the end of the course, you’ll get unlimited access to mock interviews on pramp. complete this course and hone your interview skills today!"
android interview prep,
front end web developer,"the goal of the front end web developer nanodegree program is to equip learners with the unique skills they need to build and develop a variety of websites and applications. graduates of this nanodegree program will be able to construct responsive websites using css, flexbox and css grid, develop interactive websites and ui (user interface) applications using javascript and html, and connect a web application to backend server data using javascript. students will also build competency automating application build and deployment using webpack and improving offline performance of websites using service worker."
introduction to machine learning course," this class will teach you the end-to-end process of investigating data through a machine learning lens. learn online, with udacity. "
data structures & algorithms in swift,"technical interviews follow a pattern. if you know the pattern, you’ll be a step ahead of the competition. this course will introduce you to common data structures and algorithms in swift. you'll review frequently-asked technical interview questions and learn how to structure your responses.,you will answer practice problems and quizzes to test your abilities. then you'll practice mock interviews to get specific recommendations for improvement. be ready for anything the technical interviewer throws at you."
data science interview prep,"data science job interviews  can be daunting. technical interviewers often ask you to design an experiment or model. you may need to solve problems using python and sql. you will likely need to show how you connect data skills to business decisions and strategy.,in this course, you'll review the common questions asked in data science, data analyst, and machine learning interviews. you'll learn how to answer machine learning questions about predictions, underfitting and overfitting. you'll walk through typical data analyst questions about statistics and probability. then, you'll dive deeper into the data structures and algorithms you need to know. you'll also learn tips for answering questions like, ""tell me about one of your recent projects."" at the end of the course, you'll have a chance to practice what you've learned. you'll receive a link for unlimited mock interviews on pramp. practice the skills you need to show up for your data science interview with confidence!"
product manager interview preparation,"in this course, you'll learn exactly what to expect during a product management interview, and view exclusive interviews with practicing core, data, growth, and ai product managers. you'll cover how to prepare for a product management interview, and understand what skills, abilities, and experience impress hiring managers and help you stand out. you'll watch actual product managers run mock strategy and technical interviews, and learn directly from their experience and answers. finally, you'll get to see what a day in the life looks like for product managers in different specializations. throughout the course, you will receive additional practice questions to prepare you to ace your next pm interview. complete this course and be equipped to land your dream role in product management!"
vr interview prep,
ios interview prep,
strengthen your linkedin network & brand,
refresh your resume,
aws deepracer,"this course will prepare you to create, train, and fine-tune reinforcement learning models in the aws deepracer 3d racing simulator. you will be able to utilize the car's tech specs, assembly, and calibration to train and deploy your racing model using aws in both simulated and real-world tracks."
intro to deep learning with pytorch,"in this course, you’ll learn the basics of deep learning, and build your own deep neural networks using pytorch. you’ll get practical experience with pytorch through coding exercises and projects implementing state-of-the-art ai applications such as style transfer and text generation."
intro to tensorflow for deep learning,"learn how to build deep learning applications with tensorflow. this course was developed by the tensorflow team and udacity as a practical approach to deep learning for software developers. you'll get hands-on experience building your own state-of-the-art image classifiers and other deep learning models. you'll also use your tensorflow models in the real world on mobile devices, in the cloud, and in browsers. finally, you'll use advanced techniques and algorithms to work with large datasets. by the end of this course, you'll have all the skills necessary to start creating your own ai applications."
eigenvectors and eigenvalues,one of the most interesting topics to visualize in linear algebra are eigenvectors and eigenvalues. here you will learn how to easily calculate them and how they are applicable and particularly interesting when it comes to machine learning implementations.
introduction to computer vision,"this course provides an introduction to computer vision including fundamentals of image formation, camera imaging geometry, feature detection and matching, multiview geometry including stereo, motion estimation and tracking, and classification. we’ll develop basic methods for applications that include finding known models in images, depth recovery from stereo, camera calibration, image stabilization, automated alignment (e.g. panoramas), tracking, and action recognition.  we focus less on the machine learning aspect of cv as that is really classification theory best learned in an ml course.,the focus of the course is to develop the intuitions and mathematics of the methods in lecture, and then to learn about the difference between theory and practice in the problem sets. all algorithms work perfectly in the slides. but remember what , said: in theory there is no difference between theory and practice. in practice there is. (einstein said something similar but who knows more about real life?) in this course you do not, for the most part, apply high-level library functions but use low to mid level algorithms to analyze images and extract structural information."
introduction to tensorflow lite,"learn how to deploy deep learning models on mobile and embedded devices with tensorflow lite. this course was developed by the tensorflow team and udacity as a practical approach to model deployment for software developers. you'll get hands-on experience with the tensorflow lite framework as you deploy deep learning models on android, ios, and even an embedded linux platform. by the end of this course, you'll have all the skills necessary to start deploying your own deep learning models into your apps."
