difficulty,duration,free,n_reviews,rating,difficulty_Career Advancement,difficulty_School of Artificial Intelligence,difficulty_School of Autonomous Systems,difficulty_School of Business,difficulty_School of Cloud Computing,difficulty_School of Data Science,difficulty_School of Programming & Development
2.0,2.156885438468934,0,0.9678714859437756,0.5749926620114563,0,0,0,0,0,1,0
1.0,0.7891277806681579,0,0.9839357429718876,0.7881544125252793,0,0,0,1,0,0,0
1.0,0.7891277806681579,0,0.93574297188755,0.8092204228561615,0,0,0,1,0,0,0
2.0,1.473006609568546,0,0.9919678714859436,0.7328109823903031,0,1,0,0,0,0,0
2.0,1.473006609568546,0,0.9156626506024084,0.558763080810766,0,0,0,0,0,0,1
1.0,1.473006609568546,0,0.9959839357429726,0.7642386694145573,0,0,0,0,0,0,1
2.0,1.473006609568546,0,0.9397590361445785,0.553107407600625,0,0,1,0,0,0,0
0.0,0.1052489517677698,0,0.9437751004016064,0.7480407911264191,0,0,0,0,0,1,0
1.0,0.7891277806681579,0,0.9759036144578312,0.8665080820448301,0,0,0,1,0,0,0
2.0,0.7891277806681579,0,0.9477911646586356,0.6082146206202692,0,1,0,0,0,0,0
2.0,1.473006609568546,0,0.9879518072289156,0.6640306793401782,0,0,0,0,0,1,0
2.0,-1.0915389988079094,1,0.0,0.0,0,0,0,0,0,0,1
1.0,0.7891277806681579,0,0.9558232931726908,0.8634805317059611,0,0,0,0,0,1,0
2.0,-1.0915389988079094,1,0.0,0.0,0,0,0,0,0,1,0
0.0,2.8407642673693223,0,0.9799196787148594,0.8686559214657228,0,0,1,0,0,0,0
2.0,1.473006609568546,0,0.9076305220883534,0.6009900830444233,0,0,0,0,1,0,0
1.0,0.1052489517677698,1,0.0,0.0,0,0,0,0,0,1,0
1.0,0.1052489517677698,0,0.895582329317269,0.2136731411694592,0,1,0,0,0,0,0
1.0,-1.177023852420458,1,0.0,0.0,1,0,0,0,0,0,0
2.0,1.473006609568546,1,0.0,0.0,0,1,0,0,0,0,0
2.0,-1.0915389988079094,1,0.0,0.0,1,0,0,0,0,0,0
2.0,-1.0915389988079094,1,0.0,0.0,1,0,0,0,0,0,0
2.0,-1.0915389988079094,1,0.0,0.0,1,0,0,0,0,0,0
2.0,-1.0915389988079094,1,0.0,0.0,1,0,0,0,0,0,0
2.0,1.473006609568546,0,0.9598393574297188,0.7263578965001418,0,0,0,0,0,0,1
2.0,0.4471883662179639,1,0.0,0.0,0,1,0,0,0,0,0
2.0,-0.5786298771326183,1,0.0,0.0,1,0,0,0,0,0,0
2.0,-1.0915389988079094,1,0.0,0.0,1,0,0,0,0,0,0
1.0,-1.0915389988079094,1,0.0,0.0,1,0,0,0,0,0,0
2.0,-1.0915389988079094,1,0.0,0.0,1,0,0,0,0,0,0
2.0,-1.0915389988079094,1,0.0,0.0,1,0,0,0,0,0,0
1.0,-1.0915389988079094,1,0.0,0.0,1,0,0,0,0,0,0
1.0,-1.0915389988079094,1,0.0,0.0,1,0,0,0,0,0,0
2.0,-0.9205692915828124,1,0.0,0.0,0,1,0,0,0,0,0
2.0,0.1052489517677698,1,0.0,0.0,0,1,0,0,0,0,0
2.0,0.1052489517677698,1,0.0,0.0,0,1,0,0,0,0,0
1.0,-1.0915389988079094,1,0.0,0.0,0,1,0,0,0,0,0
2.0,1.473006609568546,1,0.0,0.0,0,1,0,0,0,0,0
2.0,0.1052489517677698,1,0.0,0.0,0,1,0,0,0,0,0
0.0,0.1052489517677698,1,0.0,0.0,0,1,0,0,0,0,0
2.0,1.473006609568546,1,0.0,0.0,0,1,0,0,0,0,0
0.0,-0.0657207554573272,1,0.0,0.0,0,1,0,0,0,0,0
2.0,0.1052489517677698,1,0.0,0.0,0,1,0,0,0,0,0
2.0,-0.5786298771326183,1,0.0,0.0,0,1,0,0,0,0,0
2.0,1.473006609568546,1,0.0,0.0,0,1,0,0,0,0,0
2.0,-0.9205692915828124,1,0.0,0.0,0,1,0,0,0,0,0
2.0,-0.5786298771326183,1,0.0,0.0,0,1,0,0,0,0,0
2.0,1.473006609568546,1,0.0,0.0,0,1,0,0,0,0,0
2.0,-0.0657207554573272,1,0.0,0.0,0,1,0,0,0,0,0
0.0,0.1052489517677698,1,0.0,0.0,0,1,0,0,0,0,0
2.0,1.473006609568546,1,0.0,0.0,0,1,0,0,0,0,0
2.0,-0.5786298771326183,1,0.0,0.0,0,1,0,0,0,0,0
1.0,0.1052489517677698,1,0.0,0.0,0,1,0,0,0,0,0
2.0,1.473006609568546,1,0.0,0.0,0,1,0,0,0,0,0
0.0,0.1052489517677698,1,0.0,0.0,0,1,0,0,0,0,0
1.0,-0.5786298771326183,1,0.0,0.0,0,0,1,0,0,0,0
0.0,1.473006609568546,1,0.0,0.0,0,0,1,0,0,0,0
2.0,0.1052489517677698,1,0.0,0.0,0,0,1,0,0,0,0
1.0,0.1052489517677698,1,0.0,0.0,0,0,0,0,1,0,0
2.0,-0.5786298771326183,1,0.0,0.0,0,1,0,0,0,0,0
2.0,-0.5786298771326183,1,0.0,0.0,0,0,0,0,1,0,0
2.0,-1.0915389988079094,1,0.0,0.0,0,1,0,0,0,0,0
1.0,-1.2454117353104968,1,0.0,0.0,0,0,0,1,0,0,0
2.0,-0.7495995843577153,1,0.0,0.0,0,0,0,1,0,0,0
2.0,-0.5786298771326183,1,0.0,0.0,0,0,0,1,0,0,0
2.0,-0.5786298771326183,1,0.0,0.0,0,0,0,1,0,0,0
2.0,-0.7495995843577153,1,0.0,0.0,0,0,0,1,0,0,0
2.0,-0.9205692915828124,1,0.0,0.0,0,0,0,1,0,0,0
2.0,-0.7495995843577153,1,0.0,0.0,0,0,0,1,0,0,0
2.0,0.1052489517677698,1,0.0,0.0,0,0,0,1,0,0,0
2.0,-0.7495995843577153,1,0.0,0.0,0,0,0,1,0,0,0
2.0,-0.9205692915828124,1,0.0,0.0,0,0,0,1,0,0,0
1.0,-0.9205692915828124,1,0.0,0.0,0,0,0,1,0,0,0
1.0,-0.9205692915828124,1,0.0,0.0,0,0,0,1,0,0,0
2.0,-0.7495995843577153,1,0.0,0.0,0,0,0,1,0,0,0
2.0,1.473006609568546,1,0.0,0.0,0,0,0,0,0,1,0
1.0,-0.2366904626824242,1,0.0,0.0,0,0,0,0,0,1,0
1.0,-0.5786298771326183,1,0.0,0.0,0,0,0,0,0,1,0
2.0,0.1052489517677698,1,0.0,0.0,0,0,0,0,0,1,0
2.0,-0.5786298771326183,1,0.0,0.0,0,0,0,0,0,0,1
1.0,-0.7495995843577153,1,0.0,0.0,0,0,0,0,0,0,1
1.0,1.473006609568546,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-1.0915389988079094,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-0.9205692915828124,1,0.0,0.0,0,0,0,0,0,0,1
0.0,0.7891277806681579,1,0.0,0.0,0,0,0,0,0,0,1
0.0,-0.7495995843577153,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-1.0915389988079094,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-1.0915389988079094,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-0.5786298771326183,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-0.9205692915828124,1,0.0,0.0,0,0,0,0,0,0,1
2.0,1.473006609568546,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-0.7495995843577153,1,0.0,0.0,0,0,0,0,0,0,1
0.0,0.1052489517677698,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-1.0915389988079094,1,0.0,0.0,0,0,0,0,0,0,1
1.0,-0.5786298771326183,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-1.0915389988079094,1,0.0,0.0,0,0,0,0,0,0,1
1.0,-0.5786298771326183,1,0.0,0.0,0,0,0,0,0,0,1
1.0,-0.2366904626824242,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-0.7495995843577153,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-1.0915389988079094,1,0.0,0.0,0,0,0,0,0,0,1
0.0,-0.4076601699075212,1,0.0,0.0,0,0,0,0,0,0,1
0.0,-1.0915389988079094,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-1.0915389988079094,1,0.0,0.0,0,0,0,0,0,0,1
0.0,1.473006609568546,1,0.0,0.0,0,0,0,0,0,0,1
2.0,1.473006609568546,1,0.0,0.0,0,0,0,0,0,0,1
1.0,-0.5786298771326183,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-1.0915389988079094,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-0.7495995843577153,1,0.0,0.0,0,0,0,0,0,0,1
2.0,0.1052489517677698,1,0.0,0.0,0,0,0,0,0,0,1
2.0,1.473006609568546,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-0.5786298771326183,1,0.0,0.0,0,0,0,0,0,0,1
1.0,0.1052489517677698,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-0.9205692915828124,1,0.0,0.0,0,0,0,0,0,0,1
2.0,1.473006609568546,1,0.0,0.0,0,0,1,0,0,0,0
1.0,-0.9205692915828124,1,0.0,0.0,0,0,0,0,0,0,1
2.0,0.1052489517677698,1,0.0,0.0,0,0,0,0,0,0,1
0.0,-0.5786298771326183,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-0.7495995843577153,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-0.9205692915828124,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-1.0915389988079094,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-0.9205692915828124,1,0.0,0.0,0,0,0,0,0,0,1
2.0,0.1052489517677698,1,0.0,0.0,0,0,0,0,0,0,1
2.0,-1.0915389988079094,1,0.0,0.0,0,0,0,0,0,0,1
0.0,0.1052489517677698,1,0.0,0.0,0,0,0,0,0,0,1
2.0,0.1052489517677698,1,0.0,0.0,0,0,0,0,0,0,1
1.0,-0.6641147307451668,1,0.0,0.0,0,0,0,0,0,0,1
1.0,-1.177023852420458,1,0.0,0.0,0,0,0,0,0,0,1
