,difficulty,duration,free,n_reviews,rating,difficulty_Career Advancement,difficulty_School of Artificial Intelligence,difficulty_School of Autonomous Systems,difficulty_School of Business,difficulty_School of Cloud Computing,difficulty_School of Data Science,difficulty_School of Programming & Development
0,2.0,2.156885438468934,0,0.9678714859437756,0.5749926620114563,0,0,0,0,0,1,0
1,1.0,0.7891277806681579,0,0.9839357429718876,0.7881544125252793,0,0,0,1,0,0,0
2,1.0,0.7891277806681579,0,0.93574297188755,0.8092204228561624,0,0,0,1,0,0,0
3,2.0,1.473006609568546,0,0.9919678714859436,0.7328109823903031,0,1,0,0,0,0,0
4,2.0,1.473006609568546,0,0.9156626506024084,0.558763080810766,0,0,0,0,0,0,1
5,1.0,1.473006609568546,0,0.9959839357429726,0.7642386694145546,0,0,0,0,0,0,1
6,2.0,1.473006609568546,0,0.9397590361445785,0.553107407600625,0,0,1,0,0,0,0
7,0.0,0.10524895176776984,0,0.9437751004016064,0.7480407911264191,0,0,0,0,0,1,0
8,1.0,0.7891277806681579,0,0.9759036144578312,0.8665080820448301,0,0,0,1,0,0,0
9,2.0,0.7891277806681579,0,0.9477911646586356,0.6082146206202683,0,1,0,0,0,0,0
10,2.0,1.473006609568546,0,0.9879518072289156,0.6640306793401782,0,0,0,0,0,1,0
11,2.0,-1.0915389988079094,1,0.0,,0,0,0,0,0,0,1
12,1.0,0.7891277806681579,0,0.9558232931726908,0.8634805317059611,0,0,0,0,0,1,0
13,2.0,-1.0915389988079094,1,0.0,,0,0,0,0,0,1,0
14,0.0,2.8407642673693223,0,0.9799196787148594,0.8686559214657246,0,0,1,0,0,0,0
15,2.0,1.473006609568546,0,0.9076305220883534,0.6009900830444233,0,0,0,0,1,0,0
16,1.0,0.10524895176776984,1,0.0,,0,0,0,0,0,1,0
17,1.0,0.10524895176776984,0,0.895582329317269,0.21367314116945926,0,1,0,0,0,0,0
18,1.0,-1.1770238524204581,1,0.0,,1,0,0,0,0,0,0
19,2.0,1.473006609568546,1,0.0,,0,1,0,0,0,0,0
20,2.0,-1.0915389988079094,1,0.0,,1,0,0,0,0,0,0
21,2.0,-1.0915389988079094,1,0.0,,1,0,0,0,0,0,0
22,2.0,-1.0915389988079094,1,0.0,,1,0,0,0,0,0,0
23,2.0,-1.0915389988079094,1,0.0,,1,0,0,0,0,0,0
24,2.0,1.473006609568546,0,0.9598393574297188,0.7263578965001436,0,0,0,0,0,0,1
25,2.0,0.4471883662179639,1,0.0,,0,1,0,0,0,0,0
26,2.0,-0.5786298771326183,1,0.0,,1,0,0,0,0,0,0
27,2.0,-1.0915389988079094,1,0.0,,1,0,0,0,0,0,0
28,1.0,-1.0915389988079094,1,0.0,,1,0,0,0,0,0,0
29,2.0,-1.0915389988079094,1,0.0,,1,0,0,0,0,0,0
30,2.0,-1.0915389988079094,1,0.0,,1,0,0,0,0,0,0
31,1.0,-1.0915389988079094,1,0.0,,1,0,0,0,0,0,0
32,1.0,-1.0915389988079094,1,0.0,,1,0,0,0,0,0,0
33,2.0,-0.9205692915828124,1,0.0,,0,1,0,0,0,0,0
34,2.0,0.10524895176776984,1,0.0,,0,1,0,0,0,0,0
35,2.0,0.10524895176776984,1,0.0,,0,1,0,0,0,0,0
36,1.0,-1.0915389988079094,1,0.0,,0,1,0,0,0,0,0
37,2.0,1.473006609568546,1,0.0,,0,1,0,0,0,0,0
38,2.0,0.10524895176776984,1,0.0,,0,1,0,0,0,0,0
39,0.0,0.10524895176776984,1,0.0,,0,1,0,0,0,0,0
40,2.0,1.473006609568546,1,0.0,,0,1,0,0,0,0,0
41,0.0,-0.0657207554573272,1,0.0,,0,1,0,0,0,0,0
42,2.0,0.10524895176776984,1,0.0,,0,1,0,0,0,0,0
43,2.0,-0.5786298771326183,1,0.0,,0,1,0,0,0,0,0
44,2.0,1.473006609568546,1,0.0,,0,1,0,0,0,0,0
45,2.0,-0.9205692915828124,1,0.0,,0,1,0,0,0,0,0
46,2.0,-0.5786298771326183,1,0.0,,0,1,0,0,0,0,0
47,2.0,1.473006609568546,1,0.0,,0,1,0,0,0,0,0
48,2.0,-0.0657207554573272,1,0.0,,0,1,0,0,0,0,0
49,0.0,0.10524895176776984,1,0.0,,0,1,0,0,0,0,0
50,2.0,1.473006609568546,1,0.0,,0,1,0,0,0,0,0
51,2.0,-0.5786298771326183,1,0.0,,0,1,0,0,0,0,0
52,1.0,0.10524895176776984,1,0.0,,0,1,0,0,0,0,0
53,2.0,1.473006609568546,1,0.0,,0,1,0,0,0,0,0
54,0.0,0.10524895176776984,1,0.0,,0,1,0,0,0,0,0
55,1.0,-0.5786298771326183,1,0.0,,0,0,1,0,0,0,0
56,0.0,1.473006609568546,1,0.0,,0,0,1,0,0,0,0
57,2.0,0.10524895176776984,1,0.0,,0,0,1,0,0,0,0
58,1.0,0.10524895176776984,1,0.0,,0,0,0,0,1,0,0
59,2.0,-0.5786298771326183,1,0.0,,0,1,0,0,0,0,0
60,2.0,-0.5786298771326183,1,0.0,,0,0,0,0,1,0,0
61,2.0,-1.0915389988079094,1,0.0,,0,1,0,0,0,0,0
62,1.0,-1.2454117353104968,1,0.0,,0,0,0,1,0,0,0
63,2.0,-0.7495995843577153,1,0.0,,0,0,0,1,0,0,0
64,2.0,-0.5786298771326183,1,0.0,,0,0,0,1,0,0,0
65,2.0,-0.5786298771326183,1,0.0,,0,0,0,1,0,0,0
66,2.0,-0.7495995843577153,1,0.0,,0,0,0,1,0,0,0
67,2.0,-0.9205692915828124,1,0.0,,0,0,0,1,0,0,0
68,2.0,-0.7495995843577153,1,0.0,,0,0,0,1,0,0,0
69,2.0,0.10524895176776984,1,0.0,,0,0,0,1,0,0,0
70,2.0,-0.7495995843577153,1,0.0,,0,0,0,1,0,0,0
71,2.0,-0.9205692915828124,1,0.0,,0,0,0,1,0,0,0
72,1.0,-0.9205692915828124,1,0.0,,0,0,0,1,0,0,0
73,1.0,-0.9205692915828124,1,0.0,,0,0,0,1,0,0,0
