difficulty,duration,n_reviews,rating,free,Label
intermediate,200.0,918,91.08932461873638,0,5
beginner,120.0,1753,93.96463205932687,0,6
beginner,120.0,619,94.24878836833604,0,6
intermediate,160.0,2893,93.2181126857933,0,2
intermediate,160.0,517,90.87040618955513,0,2
beginner,160.0,3045,93.64203612479474,0,6
intermediate,160.0,680,90.7941176470588,0,2
advanced,80.0,739,93.42354533152908,0,2
beginner,120.0,1161,95.02153316106802,0,6
intermediate,120.0,761,91.53745072273324,0,2
intermediate,160.0,2838,92.29034531360114,0,2
intermediate,10.0,0,0.0,1,1
beginner,120.0,777,94.980694980695,0,6
intermediate,10.0,0,0.0,1,1
advanced,240.0,1386,95.05050505050504,0,5
intermediate,160.0,500,91.44,0,2
beginner,80.0,0,0.0,1,3
beginner,80.0,399,86.2155388471178,0,6
beginner,5.0,0,0.0,1,3
intermediate,160.0,0,0.0,1,0
intermediate,10.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
intermediate,160.0,824,93.13106796116506,0,2
intermediate,100.0,0,0.0,1,4
intermediate,40.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
beginner,10.0,0,0.0,1,3
intermediate,10.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
beginner,10.0,0,0.0,1,3
beginner,10.0,0,0.0,1,3
intermediate,20.0,0,0.0,1,1
intermediate,80.0,0,0.0,1,4
intermediate,80.0,0,0.0,1,4
beginner,10.0,0,0.0,1,3
intermediate,160.0,0,0.0,1,0
intermediate,80.0,0,0.0,1,4
advanced,80.0,0,0.0,1,4
intermediate,160.0,0,0.0,1,0
advanced,70.0,0,0.0,1,4
intermediate,80.0,0,0.0,1,4
intermediate,40.0,0,0.0,1,1
intermediate,160.0,0,0.0,1,0
intermediate,20.0,0,0.0,1,1
intermediate,40.0,0,0.0,1,1
intermediate,160.0,0,0.0,1,0
intermediate,70.0,0,0.0,1,4
advanced,80.0,0,0.0,1,4
intermediate,160.0,0,0.0,1,0
intermediate,40.0,0,0.0,1,1
beginner,80.0,0,0.0,1,3
intermediate,160.0,0,0.0,1,0
advanced,80.0,0,0.0,1,4
beginner,40.0,0,0.0,1,3
advanced,160.0,0,0.0,1,0
intermediate,80.0,0,0.0,1,4
beginner,80.0,0,0.0,1,3
intermediate,40.0,0,0.0,1,1
intermediate,40.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
beginner,1.0,0,0.0,1,3
intermediate,30.0,0,0.0,1,1
intermediate,40.0,0,0.0,1,1
intermediate,40.0,0,0.0,1,1
intermediate,30.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
intermediate,30.0,0,0.0,1,1
intermediate,80.0,0,0.0,1,4
intermediate,30.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
beginner,20.0,0,0.0,1,3
beginner,20.0,0,0.0,1,3
intermediate,30.0,0,0.0,1,1
intermediate,160.0,0,0.0,1,0
beginner,60.0,0,0.0,1,3
beginner,40.0,0,0.0,1,3
intermediate,80.0,0,0.0,1,4
intermediate,40.0,0,0.0,1,1
beginner,30.0,0,0.0,1,3
beginner,160.0,0,0.0,1,0
intermediate,10.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
advanced,120.0,0,0.0,1,4
advanced,30.0,0,0.0,1,4
intermediate,10.0,0,0.0,1,1
intermediate,10.0,0,0.0,1,1
intermediate,40.0,0,0.0,1,1
intermediate,20.0,0,0.0,1,1
intermediate,160.0,0,0.0,1,0
intermediate,30.0,0,0.0,1,1
advanced,80.0,0,0.0,1,4
