difficulty,total_hours,enrolled,rating,institution,Label
beginner,120.0,0.0,4.3,IBM,-1
advanced,240.0,542057.0,4.8,Google,-1
beginner,160.0,208490.0,4.7,Google,-1
beginner,56.0,0.0,3.8,National Research Nuclear University MEPhI,-1
intermediate,168.0,16289.0,4.3,Moscow Institute of Physics and Technology,-1
beginner,144.0,0.0,4.9,HSE University,-1
beginner,96.0,4200.0,4.7,HSE University,-1
beginner,72.0,25412.0,4.7,University of Michigan,-1
intermediate,416.0,2498.0,4.4,Saint Petersburg State University,-1
intermediate,120.0,0.0,4.8,Arizona State University,-1
intermediate,224.0,38023.0,4.7,Moscow Institute of Physics and Technology,-1
beginner,56.0,0.0,4.1,Saint Petersburg State University,-1
intermediate,96.0,13679.0,4.6,Moscow Institute of Physics and Technology,-1
intermediate,120.0,6550.0,4.4,Moscow Institute of Physics and Technology,-1
beginner,14.0,0.0,4.7,IBM,5
beginner,10.0,2470.0,4.1,Sciences Po,14
advanced,40.0,23979.0,4.3,The State University of New York,12
intermediate,16.0,18076.0,4.6,University at Buffalo,11
beginner,112.0,3625.0,4.7,University of Minnesota,-1
intermediate,168.0,0.0,4.7,HSE University,-1
beginner,32.0,0.0,4.8,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),-1
beginner,60.0,0.0,4.9,Berklee College of Music,-1
beginner,348.0,0.0,4.7,Saint Petersburg State University,-1
beginner,96.0,0.0,4.7,Saint Petersburg State University,-1
beginner,48.0,6918.0,4.4,Yonsei University,-1
beginner,80.0,87869.0,4.8,California Institute of the Arts,1
beginner,6.0,4024.0,4.7,Case Western Reserve University,15
beginner,12.0,16314.0,4.6,"University of California, Davis",10
intermediate,13.0,12953.0,4.5,INSEAD,12
beginner,16.0,0.0,4.7,Google Cloud,5
intermediate,2.0,0.0,4.7,Coursera,3
beginner,2.0,0.0,4.7,Coursera,7
intermediate,2.0,0.0,4.7,Coursera,3
beginner,72.0,50644.0,4.7,University of Alberta,-1
beginner,48.0,0.0,3.9,Saint Petersburg State University,-1
beginner,80.0,14486.0,4.7,Berklee College of Music,-1
beginner,72.0,39793.0,4.4,Indian School of Business,-1
beginner,3.0,0.0,4.6,Association of International Certified Professional Accountants,-1
beginner,140.0,30370.0,4.7,University of Illinois at Urbana-Champaign,-1
beginner,4.0,0.0,5.0,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),-1
beginner,21.0,5036.0,4.6,University of Colorado Boulder,10
beginner,72.0,7222.0,4.8,University of Colorado System,1
intermediate,2.0,1738.0,4.7,Coursera,9
beginner,2.0,0.0,4.7,Coursera,7
beginner,48.0,0.0,4.7,University of Michigan,5
intermediate,80.0,7265.0,4.5,Fundação Instituto de Administração,12
beginner,49.0,28396.0,4.9,University of Alberta,0
beginner,48.0,0.0,4.9,"University of California, Davis",-1
intermediate,1.0,0.0,4.7,Coursera,3
intermediate,1.5,0.0,4.7,Coursera,3
beginner,19.0,17167.0,4.4,Northwestern University,14
beginner,84.0,0.0,4.4,,-1
beginner,10.0,25190.0,4.8,The University of Edinburgh,1
intermediate,30.0,41446.0,4.8,"University of California, Santa Cruz",2
intermediate,2.0,0.0,4.7,Coursera,3
intermediate,1.0,0.0,4.7,Coursera,3
advanced,3.0,1545.0,4.7,Yandex,9
beginner,3.0,0.0,4.8,Association of International Certified Professional Accountants,-1
intermediate,48.0,30678.0,4.8,Google Cloud,2
beginner,96.0,2178.0,4.8,University of Illinois at Urbana-Champaign,1
intermediate,48.0,11983.0,4.6,Alberta Machine Intelligence Institute,11
beginner,2.0,0.0,4.7,Coursera,7
beginner,48.0,15303.0,4.7,Imperial College London,15
beginner,5.0,6748.0,4.8,Pontificia Universidad Católica de Chile,1
beginner,15.0,89013.0,4.6,HEC Paris,10
intermediate,6.0,0.0,4.7,,4
intermediate,10.0,29283.0,4.6,"University of California, Santa Cruz",11
beginner,14.0,4290.0,4.9,Duke University,0
beginner,48.0,3579.0,4.8,IESE Business School,1
beginner,12.0,13137.0,4.5,Amazon Web Services,13
advanced,22.0,3820.0,4.8,"University of California, Santa Cruz",2
